id,articleId,userId,vehicleId,publicationDate,brandId,modelId,generationId,likes,comments,engine,wheeldrive,transmission,about
1,0010548330130c81980fa0bb15488f0184d,0531c9fb581d,000583010c190f0b1588014d,1388223051000,008,008001,008001001,0,0,,,,{1}
2,0010548330130cf1980f30bb15988d0104d,0531c9fb581d,000583010c190f0b1588014d,1388340034000,008,008001,008001001,0,0,,,,{1}
3,0010548330140c21910fa0b215b88c0104d,0531c9fb581d,000583010c190f0b1588014d,1388383448000,008,008001,008001001,0,0,,,,{2}
4,0010548330150c11980f20b11508870184d,0531c9fb581d,000583010c190f0b1588014d,1388641915000,008,008001,008001001,0,0,,,,{10}
5,0010548330160cd1940f60b21508880184d,0531c9fb581d,000583010c190f0b1588014d,1389107749000,008,008001,008001001,0,0,,,,{1}
6,0010548330180c519b0f70be15888b0184d,0531c9fb581d,000583010c190f0b1588014d,1389517859000,008,008001,008001001,0,0,,,,{}
7,0010548330190c61910f30b51518840184d,0531c9fb581d,000583010c190f0b1588014d,1389792285000,008,008001,008001001,0,0,,,,{1}
8,00105483301a0c41990fb0b01578860104d,0531c9fb581d,000583010c190f0b1588014d,1390036060000,008,008001,008001001,0,0,,,,{1}
9,00105483301a0c51920f20b615388b0184d,0531c9fb581d,000583010c190f0b1588014d,1390044931000,008,008001,008001001,0,0,,,,{11}
10,00105483301b0c91980f20bf15c88f0104d,0531c9fb581d,000583010c190f0b1588014d,1390386806000,008,008001,008001001,0,0,,,,{1}
11,00105483301c0c81990f40b51518880104d,0531c9fb581d,000583010c190f0b1588014d,1390639600000,008,008001,008001001,0,0,,,,{1}
12,00105483301e0cc1990fc0b815b88d0184d,0531c9fb581d,000583010c190f0b1588014d,1391244119000,008,008001,008001001,0,0,,,,{1}
13,00105483301f0c21930f20b31508820104d,0531c9fb581d,000583010c190f0b1588014d,1391337812000,008,008001,008001001,0,0,,,,{2}
14,0010548340110c219b0fc0b715e88b0184d,0531c9fb581d,000583010c190f0b1588014d,1391883747000,008,008001,008001001,0,0,,,,{1}
15,0010548340120c01950f00bf15b8830104d,0531c9fb581d,000583010c190f0b1588014d,1392111582000,008,008001,008001001,0,0,,,,{1}
16,0010548340120ce19e0f40b11578840104d,0531c9fb581d,000583010c190f0b1588014d,1392356104000,008,008001,008001001,0,0,,,,{14}
17,0010548340130c51970fe0b415a88a0184d,0531c9fb581d,000583010c190f0b1588014d,1392466873000,008,008001,008001001,0,0,,,,{14}
18,0010548340140c41970f80b01588820184d,0531c9fb581d,000583010c190f0b1588014d,1392718121000,008,008001,008001001,0,0,,,,{1}
19,0010548340160cc1990fb0bf15488e0104d,0531c9fb581d,000583010c190f0b1588014d,1393391564000,008,008001,008001001,0,0,,,,{}
20,0010548340180c819b0f80b415288c0184d,0531c9fb581d,000583010c190f0b1588014d,1393863181000,008,008001,008001001,0,0,,,,{1}
21,00105483401b0c019f0f10b415988d0184d,0531c9fb581d,000583010c190f0b1588014d,1394538007000,008,008001,008001001,0,0,,,,{}
22,00105483401b0c61900f00b71548850184d,0531c9fb581d,000583010c190f0b1588014d,1394622887000,008,008001,008001001,0,0,,,,{}
23,00105483401c0c01970f60bd15c8830184d,0531c9fb581d,000583010c190f0b1588014d,1394798419000,008,008001,008001001,0,0,,,,{}
24,00105483401c0c419c0fc0b715a88b0184d,0531c9fb581d,000583010c190f0b1588014d,1394871139000,008,008001,008001001,0,0,,,,{}
25,00105483401c0ce1990fb0ba15a8800104d,0531c9fb581d,000583010c190f0b1588014d,1395035712000,008,008001,008001001,0,0,,,,{7}
26,00105483401c0cf19f0fb0bf1518890184d,0531c9fb581d,000583010c190f0b1588014d,1395058799000,008,008001,008001001,0,0,,,,{}
27,00105483401e0cf19f0f90ba1588800104d,0531c9fb581d,000583010c190f0b1588014d,1395595520000,008,008001,008001001,0,0,,,,{}
28,00105483401f0cc19e0fa0bf1578800184d,0531c9fb581d,000583010c190f0b1588014d,1395812661000,008,008001,008001001,0,0,,,,{}
29,0010548350110c81950f10be15f8810104d,0531c9fb581d,000583010c190f0b1588014d,1396272394000,008,008001,008001001,0,0,,,,{1}
30,0010548350130cc1970fc0b81568840184d,0531c9fb581d,000583010c190f0b1588014d,1396879165000,008,008001,008001001,0,0,,,,{1}
31,0010548360160c71970f60b71558830184d,0531c9fb581d,000583010c190f0b1588014d,1401895155000,008,008001,008001001,0,0,,,,{1}
32,00105483601d0c71950fd0b015888a0184d,0531c9fb581d,000583010c190f0b1588014d,1403772537000,008,008001,008001001,0,0,,,,{1}
33,00105483601d0cb19f0f20bf1508830104d,0531c9fb581d,000583010c190f0b1588014d,1403849470000,008,008001,008001001,0,0,,,,{1}
34,00105483601e0cc1960fe0b715f8830184d,0531c9fb581d,000583010c190f0b1588014d,1404126003000,008,008001,008001001,0,0,,,,{}
35,00105483601f0c01920f40b215088b0104d,0531c9fb581d,000583010c190f0b1588014d,1404188238000,008,008001,008001001,0,0,,,,{}
36,00105483601f0c01980f30b515788b0104d,0531c9fb581d,000583010c190f0b1588014d,1404194478000,008,008001,008001001,0,0,,,,{}
37,0010548370140cd1970f00bb15d88a0104d,0531c9fb581d,000583010c190f0b1588014d,1405753540000,008,008001,008001001,0,0,,,,{1}
38,0010548370160cc1960fe0b915b88f0104d,0531c9fb581d,000583010c190f0b1588014d,1406273494000,008,008001,008001001,0,0,,,,{13}
39,0010548370170c219a0fa0b91528850184d,0531c9fb581d,000583010c190f0b1588014d,1406378087000,008,008001,008001001,0,0,,,,{1}
40,0010548370180c71980f00bd15c8870184d,0531c9fb581d,000583010c190f0b1588014d,1406727675000,008,008001,008001001,0,0,,,,{10}
41,0010548370180ca19c0f10b91508850184d,0531c9fb581d,000583010c190f0b1588014d,1406782247000,008,008001,008001001,0,0,,,,{}
42,0010548370180cd1920f30b015388e0104d,0531c9fb581d,000583010c190f0b1588014d,1406822188000,008,008001,008001001,0,0,,,,{}
43,00105483701e0c31930f00b31548880184d,0531c9fb581d,000583010c190f0b1588014d,1408265893000,008,008001,008001001,0,0,,,,{1}
44,0010548380120cc19c0fd0b815688e0104d,0531c9fb581d,000583010c190f0b1588014d,1409500940000,008,008001,008001001,0,0,,,,{14}
